provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,61,19,156.20,44.22,53.85,1.71,3.97,0xc6ba16ac843a2b84e6da1e88d0bf705c46230c868b5d1c21d9fc6c3cd6161f5c,1187724,1187435
https://devnet.zama.ai,62,13,156.37,44.22,18.18,0.86,3.85,0xe0554150ca77243caeee52a40c1097733e7b693351f540054863a4812cc05ad2,1187814,1187525
https://devnet.zama.ai,63,15,156.20,44.22,22.22,0.85,8.87,0x78230a9cb0b0ea61b0e393c3ea458154ae6600a8a3db04cc9c28c71e8229cd75,1187688,1187399
https://devnet.zama.ai,64,13,156.14,44.22,30.00,0.86,7.40,0x043a0a2b131000123835b5ac235c1588cc5631566b508f1e18f97acbb330bbb3,1187736,1187447
https://devnet.zama.ai,65,15,156.16,44.22,42.86,1.35,3.95,0xca283c4ec591ee1e485c13e7fbc0e39dae1f6322d009596b9f80e75d24ca81d3,1187748,1187459
https://devnet.zama.ai,66,14,156.29,44.22,16.67,0.87,3.79,0xe4d83bf2d61e2d1785ce8ee1564c6b928b2fe2eb65232722cdea7569126f3dec,1187718,1187429
https://devnet.zama.ai,67,13,156.33,44.22,22.22,0.86,8.81,0x15065823f570c6ec916583907b2f5f6f937c6bbfe4be0e41eae578753dba02e5,1187790,1187501
https://devnet.zama.ai,68,13,156.01,44.22,12.50,0.87,9.01,0xdcd3206ed31b54fb405cf24624b9c941f4662a1fadded9e888332646f78fe387,1187721,1187432
https://devnet.zama.ai,69,19,156.05,44.22,46.67,1.73,7.86,0x3997a325916157860ee73323be9857cdfd5501a5ca1920b2a89c1098147eba93,1187760,1187471
https://devnet.zama.ai,70,20,156.13,44.22,38.46,1.56,3.77,0x66c5bde0fcc6481c950a0a89912fd8f11775145958a4759d6d5561f53e696f31,1187751,1187462
https://devnet.zama.ai,71,21,156.28,44.22,41.18,1.44,8.67,0x517b3336d2e57fcc3aa811017918004b0592095c02ea4866b9d4c05fec4331c8,1187697,1187408
https://devnet.zama.ai,72,20,156.02,44.22,62.50,1.60,8.99,0xdd9e9c27af56ea5d7680a2a7b49878d0ab75cf4954001ca19fed45b60b72176d,1187793,1187504
https://devnet.zama.ai,73,14,156.06,44.22,25.00,0.86,7.92,0xae705f6b77d7eacc1655b2acae3a3251e8549441ddbc7345d1998731137de4b8,1187700,1187411
https://devnet.zama.ai,74,13,156.33,44.22,25.00,0.86,3.79,0x3cd08a92227885b7f7e0c7b52ca317eff5779e29b2bb2edfe876e85ca7b1f01e,1187751,1187462
https://devnet.zama.ai,75,13,156.13,44.22,11.11,0.86,8.69,0xc8088e50ecbaf97f9d0095d4031535c1531a69ecab5bbf98a706895512572445,1187751,1187462
https://devnet.zama.ai,76,21,156.28,44.22,50.00,1.38,9.01,0x702551f69ea1d8f2b6f8dedcfcc0164c4485be5ac36d7f836b6ed53e2466ae77,1187787,1187498
https://devnet.zama.ai,77,14,156.23,44.22,33.33,0.87,8.08,0x01b0b28923cc5e9c0e9c633944eccb00257f7169562dafe781fc60ce00ec5866,1187706,1187417
https://devnet.zama.ai,78,17,156.15,44.22,35.71,1.76,8.02,0x79a90c1ccab8d251a55f3554d6dd7a2634f36692cf9d0df4127a6ab26bfbfc8a,1187706,1187417
https://devnet.zama.ai,79,19,156.06,44.22,45.45,1.48,3.84,0x70e6a00abb77c6516ee1835745f3c32e7b14dced4efe88389f60eac7c1dc74ec,1187739,1187450
https://devnet.zama.ai,80,21,156.22,44.22,31.25,1.33,9.21,0x17227a2adfbbe95816ec9fcd22843e864f123b033cf112a45916c36b8822dea4,1187781,1187492
https://devnet.zama.ai,81,13,156.22,44.22,30.77,0.87,8.15,0x42ebd2fe88739f4fcd57d4084db83f544c0d99746b0ba4dcf3ebce72ec6a9865,1187736,1187447
https://devnet.zama.ai,82,18,156.09,44.22,46.67,1.41,8.09,0x2be4ca893045f4f2a6ecec656e4ff5aa20d0df2b511c6be66993da61f5b5ca45,1187769,1187480
https://devnet.zama.ai,83,14,156.15,44.22,25.00,0.87,4.10,0x3fd54f6b188e005dba73b61a8cdf7288e0031e80b322c4b5acd9b0b87767739b,1187745,1187456
https://devnet.zama.ai,84,13,156.16,44.22,12.50,0.87,3.82,0x3011a44690f3cea884a26b15ad00c8d84da1534b260fa4fd3ea182cd7461763b,1187742,1187453
https://devnet.zama.ai,85,16,156.29,44.22,21.43,0.86,8.76,0x1f2aafecba14abcb05f372b94a2bb8b2cb202eb31935812b881b8cfbc1376e1e,1187793,1187504
https://devnet.zama.ai,86,20,156.25,44.22,52.94,1.32,7.89,0x5ddb08eb201a1d7a1d58d24b2acc5e3ac10813ab97f77a0929f6f3aa0f323bf0,1187778,1187489
https://devnet.zama.ai,87,16,156.15,44.22,30.00,0.87,3.89,0x274e2d241df4ce687f1ad463025bd5b86f3f40f076160735b13a15fc983a87d2,1187760,1187471
https://devnet.zama.ai,88,24,156.04,44.22,47.37,1.47,9.00,0x07775ef5e0863e0d41a4b66a1830c020bf35e1b23a9237abf5baac2e19116079,1187757,1187468
https://devnet.zama.ai,89,17,155.93,44.22,42.86,1.58,7.07,0x6091dbeed027e7d750d4b8764ea439aa19a1ea004c1248cfc582185b3fe28ab1,1187775,1187486
https://devnet.zama.ai,90,14,156.44,44.22,20.00,0.85,3.76,0x6e6bbe5613fea94ce475b7ee7036612a3f71d1d5376a8b9bef69a3ac3428f965,1187748,1187459
https://devnet.zama.ai,91,16,156.16,44.22,41.67,1.53,3.79,0x3acec6d3b51f288feae070768d64d0d35c5a32422dd1e3b3c26fe279c2c26037,1187733,1187444
https://devnet.zama.ai,92,14,156.08,44.22,18.18,0.86,8.05,0x23ffd9dfc4ff31f0b6c0273df073c6b80329a9cbbbed3fbfbdf48179b5d7e022,1187763,1187474
https://devnet.zama.ai,93,21,156.30,44.22,45.00,1.32,8.20,0x49340d8755d447d1b5fd587e62f71e2349263fbe7b633681a3b1aa1de5d98ade,1187691,1187402
https://devnet.zama.ai,94,14,156.29,44.22,27.27,0.28,4.20,0xf2d4fad1e69cd8604652cc2204128ade51767d4595d99cc5ab6b0690c28d7eb1,1187760,1187471
https://devnet.zama.ai,95,22,156.24,44.22,52.94,1.63,7.94,0x42e1559cc0607b2b33476bfe0f340c500ea2c3d3cf4282313edb52417576827b,1187754,1187465
https://devnet.zama.ai,96,17,156.05,44.22,45.45,1.55,4.11,0xae7bf05362a231117861be4e0ea70d43e710705dbadf99d46d258ea2c4077ecc,1187709,1187420
https://devnet.zama.ai,97,19,156.26,44.22,42.86,0.87,7.92,0x2069e8ed9929090b441e90162632bd8b35abd38184a7b863b3e67ab719f84310,1187847,1187558
https://devnet.zama.ai,98,15,156.20,44.22,36.36,0.86,4.08,0xefa1d0ca9b3cb999da75330deada3e51847dc6d1bb05175f13da120c76ea8d27,1187697,1187408
https://devnet.zama.ai,99,17,156.16,44.22,41.67,0.87,7.87,0x48ee56f8a279fdd2dd87c731cb1147eb35e01423ba8dfae9e04ae63e1affb838,1187718,1187429
https://devnet.zama.ai,100,24,156.14,44.22,60.00,1.37,4.07,0xcd5fd49f9ee7404923061844146f9b4bb5451a40ebbf78da0e74481a558595a3,1187715,1187426
https://devnet.zama.ai,101,13,156.35,44.22,33.33,0.87,7.98,0xc99b2b92348fba74443a59ad4680455ede1bc04684bbba92ff2050ba9c280866,1187757,1187468
