provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,95,18,156.25,44.22,9.09,0.86,8.05,0x7e52be2cd80e924ab5e9adac95279812a050611878ec8708407877afeb9da111,2740734,2740453
https://devnet.zama.ai,96,16,156.13,44.22,27.27,1.57,8.28,0xbc094fc75bf82e1f1d138228100a835200b48b23290ebe0a1b631e93fd5370ff,2740776,2740495
https://devnet.zama.ai,97,13,155.99,44.22,20.00,0.87,7.23,0x7eaa060b9e254d0125ac445e4c9b0d035118105e1a3c78e0086ecdae9f161e15,2740731,2740450
https://devnet.zama.ai,98,14,156.21,44.22,45.45,1.55,7.42,0x8562ad72fff0c210a2bd2ad1860c3e5524d1346434f0d95f9a2d703e91d8b181,2740725,2740444
https://devnet.zama.ai,99,13,156.16,44.22,41.67,0.87,8.35,0x18436de8f541c7f4174920c5d9df267176706b50fff2380a9f061a0014c7d952,2740740,2740459
https://devnet.zama.ai,100,14,155.99,44.22,33.33,1.41,8.26,0x5d4cba7ed07ce4e3caeae6795268ab269bc3cb65ec99bf02cd90f36246eaeb1a,2740758,2740477
https://devnet.zama.ai,101,12,156.26,44.22,10.00,0.87,8.14,0xf2250a0b8d3ef8cb45c423fb6bef5a7a33606a6f05301a89c299b9cbd30df71b,2740737,2740456
https://devnet.zama.ai,102,13,156.24,44.22,22.22,0.86,9.34,0x4cc3fd171c83cc898f10a5de15683ee499f3b55284e371f4b75cb2f7444290e7,2740752,2740471
https://devnet.zama.ai,103,12,156.13,44.22,33.33,0.86,8.35,0xc287a74e90ca4f27447b2bd83610f25628903184e8d21ae75d515e482b058ae6,2740761,2740480
https://devnet.zama.ai,104,15,156.17,44.22,36.36,1.33,7.22,0xbf905f8f886f97db2bf53e10268e6fc1b1c7d20983cef1cb140db42e541a7cc4,2740683,2740402
https://devnet.zama.ai,105,12,156.23,44.22,20.00,0.86,8.33,0x96138e78a652d62c37f661234fc17a34bb12e577d4613bc9d143969282a3fb85,2740767,2740486
https://devnet.zama.ai,106,11,156.14,44.22,20.00,0.87,9.07,0x4bf54cd6eeb598562f6e418323bd7f42ade9092c9d69772d82ec5412ccc08bed,2740800,2740519
https://devnet.zama.ai,107,12,156.31,44.22,25.00,0.88,7.32,0x5a4a4fde2300153f9ccaddb0d10091d6afe4632a2d56aac8f4579eb58fa4fc6e,2740737,2740456
https://devnet.zama.ai,108,22,156.22,44.22,35.71,1.32,12.56,0x1eba80c4fe98bc8809f63bac329e031bd2f42d5e95468c835c59199d0cf1894f,2740863,2740582
https://devnet.zama.ai,109,13,156.14,44.22,30.00,0.86,8.14,0xeccf9560b7baf7e1e613af984481d89c1050fb54fcbd4f03695738cfb37a7c7b,2740719,2740438
https://devnet.zama.ai,110,13,156.02,44.22,20.00,0.87,7.38,0x9faac05b9ef220a3948144dfc64760420eec1986fdb9932f6b097ddd60e5e655,2740701,2740420
https://devnet.zama.ai,111,11,156.17,44.22,12.50,0.87,8.26,0xbed44d8d565eb3cb12d4b13a6534f1d2f044d5488b6ee22c3bfbe5c943c59ac6,2740704,2740423
https://devnet.zama.ai,112,17,156.03,44.22,25.00,1.40,8.47,0x9bb104b39564299f195c72cadc6640db0ce62a00b5c86d81b36568f754c66c80,2740803,2740522
https://devnet.zama.ai,113,16,156.17,44.22,30.00,0.10,8.40,0xe86a598d293259b6c19dac96645aa902bb148922c6819c02ce94040310396d15,2740680,2740399
https://devnet.zama.ai,114,18,156.27,44.22,50.00,1.54,7.31,0x46afa2957c53543b437bf5964ed56543ce007db556194c8e5b2ebfc4fd5d3ae3,2740737,2740456
https://devnet.zama.ai,115,18,156.27,44.22,40.00,1.31,8.45,0x287d7bcf3374669bca244ba2d538aaad5e7fd9ac8325c1b9564c7537d22bd8d5,2740776,2740495
https://devnet.zama.ai,116,15,156.06,44.22,41.67,1.38,7.38,0x95682506ba8e5b2e83582820e9f66e6901f5c3855f8347bbf434112b5013ccdc,2740686,2740405
https://devnet.zama.ai,117,17,156.25,44.22,37.50,1.63,8.32,0x51ec8e0d93bf2330811f8d66875afff5b534acc78a4f6109ac4e1ea05668cecb,2740755,2740474
https://devnet.zama.ai,118,13,156.22,44.22,30.00,0.86,8.12,0x4615065bfe5d63ed9c339aad1d7ab37c266cfb6709966dc22f0ab288c0252043,2740707,2740426
https://devnet.zama.ai,119,18,156.19,44.22,38.46,1.45,8.26,0x762cfa41b60badcc14dd38a7531113db1dd90a23ca142a79dd1c08cb01564f70,2740815,2740534
https://devnet.zama.ai,120,12,156.19,44.22,22.22,0.86,12.32,0xc3aa5429ccc5d32db76517df6c89996ffa25a2b0ed6ac349d1e3e97f8f3d43a9,2740731,2740450
https://devnet.zama.ai,121,19,156.25,44.22,30.77,1.62,8.15,0xd71c52681e5f27051e063d615fd3b573e6bbee52d4068bd4b38f2921661ec5b7,2740692,2740411
https://devnet.zama.ai,122,13,156.30,44.22,22.22,0.86,7.38,0x955063d4d2ca1c87776806da61362d8add13d3d825f6b74b1d164103ee3c730a,2740704,2740423
https://devnet.zama.ai,123,14,156.17,44.22,27.27,1.76,8.37,0x414d15be98b4ccfe803ec47a97c523dc69a6dc4aafac05b2ace6e91fc77a7b5e,2740755,2740474
https://devnet.zama.ai,124,13,155.99,44.22,33.33,0.86,9.07,0x0871ba6c84637b244d444dc0070fd9cd74a4b281ea928b9625503ca45d4ac5e4,2740782,2740501
https://devnet.zama.ai,125,18,156.11,44.22,30.77,1.37,7.17,0xd5e29a401a82573fb09756bcab3e96016efc16feaa38eec7a90002fb31b3747e,2740764,2740483
https://devnet.zama.ai,126,12,156.29,44.22,25.00,0.87,7.32,0xb8d3849fb18cbff37e3486328ec8264745710f1551d263d64940a90e1f473b16,2740815,2740534
https://devnet.zama.ai,127,15,156.16,44.22,41.67,1.55,8.80,0x7a9bbb0ff8d6f1717d7e80f67fac8e961e425e87873dcdc3fb9a480e20d0f5e9,2740752,2740471
https://devnet.zama.ai,128,12,156.11,44.22,9.09,0.87,7.27,0xc225145e836786fc8e4d9c53c0fb8cb1d7be0898a066931685c36a7d6b3ad904,2740719,2740438
https://devnet.zama.ai,129,16,156.02,44.22,72.73,0.87,7.45,0xdc12d618bfdcb497e0a03c94551c5deacc0e3c81c0bfcfc5dc2a91b0ee43a968,2740644,2740363
https://devnet.zama.ai,130,14,156.19,44.22,16.67,0.86,9.22,0x5f96d9ae000669a24e914156c21f9095343cea88a2905dace9fe4bd96f46b3e0,2740719,2740438
https://devnet.zama.ai,131,15,156.23,44.22,27.27,1.48,7.31,0x332f48b33e8007757157faf69a09d2c7a560d62b5b1701e522edfc6f6aa32ff6,2740704,2740423
https://devnet.zama.ai,132,13,156.15,44.22,20.00,0.87,8.15,0xd06c08876237876e16505d5de7ef428ac99dfe8665e9cbc12d2c9273a93f91fc,2740728,2740447
https://devnet.zama.ai,133,14,156.21,44.22,20.00,0.87,8.06,0xf87fe8656de521bef07bac322a705264cdd5c7f0fbd8e29dae18d651af322d99,2740752,2740471
https://devnet.zama.ai,134,13,155.95,44.22,20.00,0.86,7.35,0x431c1f9178fc939f6f57b0c72e8bdbfaed452cb0abaec944393db024bb497842,2740626,2740345
https://devnet.zama.ai,135,14,155.92,44.22,36.36,1.42,8.06,0x963eb9efa7e3d7c4254cb115353c56f4aec9ad661df1fe1aafcd913c46d1cfa0,2740776,2740495
https://devnet.zama.ai,136,15,155.88,44.22,50.00,0.87,8.11,0x1796f80cd9ed0494b0d2a368029d0822e2b727e1c4cf5cd00752866ade057736,2740677,2740396
https://devnet.zama.ai,137,14,156.08,44.22,16.67,0.87,8.13,0xa37797d639201519ef6515ebf974830a6708bfa44c76d94bf185715c733bbef1,2740644,2740363
https://devnet.zama.ai,138,15,156.02,44.22,27.27,0.86,8.24,0xcb3bb18f8a03e414c6f08247873b482fc454df24e3c88f1f1461b2b628deb9e6,2740710,2740429
https://devnet.zama.ai,139,21,156.14,44.22,50.00,1.59,8.18,0xeca2f0a4c1b1f11357c56ef4219b302b5b046096b2834bda96a394bae0e674ae,2740755,2740474
https://devnet.zama.ai,140,13,156.35,44.22,25.00,0.86,11.42,0x2acbea942175c083e6a63bb40e0bc8c1c6c04db62354569a1679cb6e35148e02,2740758,2740477
https://devnet.zama.ai,141,13,156.29,44.22,36.36,0.86,8.26,0x625803f0243f0dc888f66d15303b03ddb8a46fe7e3c3e6e753434b79b6e609eb,2740725,2740444
https://devnet.zama.ai,142,18,156.18,44.22,41.18,1.54,12.35,0x011d52d080b02b576df940f650d609943d0c05a15b144e109cdfb0816213162f,2740695,2740414
https://devnet.zama.ai,143,13,156.23,44.22,12.50,0.86,7.83,0xa597eca40ad799ae3277296f0bcf3b63956ed107f4d7ae16fb5a3e574afa5569,2740770,2740489
https://devnet.zama.ai,144,14,156.30,44.22,11.11,0.86,8.33,0x812232b5186eed3124d76a6134ed850d722d394a4bfaa791404fd32f81c26337,2740776,2740495
https://devnet.zama.ai,145,13,156.25,44.22,33.33,0.87,7.40,0x3619e6d32ef97a57bb0553fdec3d602e89541f4da78a5ca6d04fc763310624c2,2740728,2740447
