requests,timestamp,encryptionTime_s,cpuUserDelta_s,cpuSystemDelta_s,rss_MB,heapTotal_MB,heapUsed_MB,external_MB
100,2025-02-25T17:07:19.229Z,0.785,0.771382,0.118538,300.16015625,165.5625,142.87726593017578,19.26750946044922
100,2025-02-25T17:07:19.235Z,0.789,0.776625,0.118538,300.67578125,165.98046875,143.66522216796875,19.783052444458008
100,2025-02-25T17:07:19.240Z,0.794,0.78165,0.118538,301.19140625,166.3984375,144.50796508789062,20.29831886291504
100,2025-02-25T17:07:19.245Z,0.8,0.786913,0.118538,301.70703125,166.81640625,145.24898529052734,20.751395225524902
100,2025-02-25T17:07:19.251Z,0.806,0.793767,0.118538,291.34375,156.5859375,120.2375259399414,20.94980239868164
100,2025-02-25T17:07:19.256Z,0.811,0.798821,0.118538,291.859375,157.00390625,121.02472686767578,21.40275764465332
100,2025-02-25T17:07:19.261Z,0.816,0.80382,0.118538,292.375,157.421875,121.86795043945312,21.91822624206543
100,2025-02-25T17:07:19.266Z,0.821,0.808911,0.118538,292.890625,157.83984375,122.7110366821289,22.433887481689453
100,2025-02-25T17:07:19.272Z,0.827,0.814908,0.118673,293.1484375,158.2578125,123.49994659423828,22.886664390563965
100,2025-02-25T17:07:19.277Z,0.832,0.814859,0.123818,293.6640625,158.67578125,124.34329223632812,23.402254104614258
100,2025-02-25T17:07:19.282Z,0.837,0.81549,0.12864,294.1796875,159.09375,125.18634796142578,23.917835235595703
100,2025-02-25T17:07:19.288Z,0.843,0.821149,0.128643,294.6953125,159.51171875,125.97355651855469,24.370823860168457
100,2025-02-25T17:07:19.293Z,0.848,0.826015,0.128754,294.953125,159.9296875,126.82070922851562,24.886250495910645
100,2025-02-25T17:07:19.298Z,0.853,0.830983,0.128757,295.46875,160.34765625,127.65975189208984,25.401826858520508
100,2025-02-25T17:07:19.303Z,0.857,0.836165,0.128813,295.984375,160.765625,128.44696807861328,25.854801177978516
100,2025-02-25T17:07:19.308Z,0.862,0.841111,0.128818,296.5,161.18359375,129.2902603149414,26.370306968688965
100,2025-02-25T17:07:19.475Z,1.029,0.846164,0.128853,297.015625,161.6015625,130.1329345703125,26.823320388793945
100,2025-02-25T17:07:19.481Z,1.035,0.851592,0.128858,297.2734375,162.01953125,130.92083740234375,27.33884906768799
100,2025-02-25T17:07:19.487Z,1.041,0.857701,0.128858,297.7890625,162.4375,131.76395416259766,27.854440689086914
100,2025-02-25T17:07:19.492Z,1.046,0.862559,0.128858,298.3046875,162.85546875,132.60675811767578,28.307533264160156
100,2025-02-25T17:07:19.497Z,1.051,0.868158,0.128858,299.078125,163.2734375,133.39447784423828,28.82285213470459
100,2025-02-25T17:07:19.502Z,1.056,0.873329,0.128858,300.109375,163.69140625,134.23755645751953,29.338452339172363
100,2025-02-25T17:07:19.507Z,1.061,0.878301,0.128858,300.8828125,164.109375,135.08016967773438,29.791348457336426
100,2025-02-25T17:07:19.513Z,1.067,0.883563,0.128858,301.9140625,164.52734375,135.8680877685547,30.30686378479004
100,2025-02-25T17:07:19.518Z,1.072,0.889171,0.128858,302.6875,164.9453125,136.71102142333984,30.822274208068848
100,2025-02-25T17:07:19.523Z,1.077,0.894228,0.128858,303.71875,165.36328125,137.55374145507812,31.27528476715088
100,2025-02-25T17:07:19.528Z,1.082,0.899333,0.128858,304.4921875,165.78125,138.34180450439453,31.79097270965576
100,2025-02-25T17:07:19.533Z,1.087,0.904534,0.128858,305.5234375,166.19921875,139.18437957763672,32.24383068084717
100,2025-02-25T17:07:19.540Z,1.093,0.90449,0.135596,306.296875,166.6171875,140.02782440185547,32.75949764251709
100,2025-02-25T17:07:19.545Z,1.098,0.906364,0.138995,307.328125,167.03515625,140.82315063476562,33.27490425109863
100,2025-02-25T17:07:19.550Z,1.103,0.911469,0.139,308.1015625,167.453125,141.65814971923828,33.728132247924805
100,2025-02-25T17:07:19.555Z,1.108,0.916481,0.139049,309.1328125,167.87109375,142.50130462646484,34.243526458740234
100,2025-02-25T17:07:19.561Z,1.114,0.921952,0.139051,309.90625,168.2890625,143.28871154785156,34.75884246826172
100,2025-02-25T17:07:19.566Z,1.119,0.927427,0.139051,310.9375,168.70703125,144.13134765625,35.21185493469238
100,2025-02-25T17:07:19.571Z,1.124,0.932392,0.139051,311.96875,169.125,144.97474670410156,35.72751045227051
100,2025-02-25T17:07:19.577Z,1.13,0.937768,0.139051,312.7421875,169.54296875,145.76227569580078,36.243045806884766
