requests,timestamp,encryptionTime_s,cpuUserDelta_s,cpuSystemDelta_s,rss_MB,heapTotal_MB,heapUsed_MB,external_MB
10 Requests,2025-04-13T13:15:26.511Z,0.109,0.110001,0.011171,139.2265625,68.16796875,40.4407958984375,15.674357414245605
10 Requests,2025-04-13T13:15:26.529Z,0.101,0.091092,0.01074,135.55078125,63.953125,30.26702880859375,12.663253784179688
10 Requests,2025-04-13T13:15:26.534Z,0.105,0.095689,0.010704,135.80859375,64.37109375,31.03382110595703,13.116302490234375
10 Requests,2025-04-13T13:15:26.589Z,0.075,0.062655,0.010395,142.79296875,71.19140625,41.860267639160156,12.927814483642578
10 Requests,2025-04-13T13:15:26.594Z,0.079,0.067018,0.010804,143.05078125,71.609375,42.637184143066406,13.380834579467773
10 Requests,2025-04-13T13:15:26.599Z,0.084,0.071964,0.010792,143.56640625,72.02734375,43.480072021484375,13.833788871765137
10 Requests,2025-04-13T13:15:26.604Z,0.089,0.076662,0.010791,144.08203125,72.4453125,44.322967529296875,14.286774635314941
10 Requests,2025-04-13T13:15:26.609Z,0.094,0.081886,0.010791,144.33984375,72.86328125,45.11071014404297,14.739943504333496
10 Requests,2025-04-13T13:15:26.614Z,0.099,0.087141,0.010791,144.85546875,73.28125,45.95738220214844,15.19278621673584
10 Requests,2025-04-13T13:15:26.619Z,0.104,0.092428,0.010794,145.37109375,73.69921875,46.79645538330078,15.645857810974121
10 Requests,2025-04-13T13:15:26.624Z,0.109,0.097341,0.010794,145.62890625,74.1171875,47.58393096923828,16.098854064941406
10 Requests,2025-04-13T13:15:26.642Z,0.103,0.091595,0.010795,141.91796875,69.90234375,37.41011047363281,13.087583541870117
10 Requests,2025-04-13T13:15:26.647Z,0.108,0.096049,0.010795,142.17578125,70.3203125,38.1763916015625,13.540657997131348
10 Requests,2025-04-13T13:15:26.709Z,0.082,0.071215,0.010573,149.0625,77.140625,48.753273010253906,13.344331741333008
10 Requests,2025-04-13T13:15:26.714Z,0.087,0.075774,0.01102,149.578125,77.55859375,49.530120849609375,13.797337532043457
