QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
4,2.322,91.178,15,2.327,91.063,11,3.898,91.254,4,3.934,91.212,4,3.854,91.21
2,2.384,91.195,8,3.905,91.207,4,3.979,91.218,3,4.092,91.174,4,2.233,91.139
5,2.274,91.255,3,2.366,91.214,2,2.535,91.12,4,4.01,91.209,4,2.441,91.139
3,3.946,91.164,6,3.912,91.174,14,2.746,91.207,4,2.437,91.18,4,2.281,91.204
3,2.986,91.171,6,2.514,91.223,14,2.517,91.129,4,2.299,91.103,4,3.0,91.212
5,2.373,91.205,6,2.437,91.344,6,2.33,91.162,4,2.291,91.189,3,2.313,91.215
3,3.86,91.282,3,4.115,91.151,2,2.726,91.139,4,2.529,91.284,4,2.321,91.134
4,2.587,91.197,15,2.345,91.073,11,2.299,91.126,2,3.26,91.216,4,2.777,91.154
2,2.602,91.199,15,2.739,91.187,11,2.309,91.177,2,2.54,91.233,4,2.601,91.225
3,2.762,91.229,14,2.328,91.198,17,2.306,91.303,4,2.285,91.184,3,2.494,91.151
2,2.425,91.222,6,2.497,91.174,14,2.37,91.143,4,3.843,91.224,4,2.332,91.244
2,2.338,91.133,3,3.976,91.155,2,2.634,91.192,2,2.615,91.184,3,2.507,91.199
3,2.434,91.272,3,2.473,91.268,2,3.972,91.128,4,2.486,91.216,4,3.108,91.172
3,3.351,91.171,8,2.392,91.167,4,2.325,91.181,4,2.38,91.115,4,3.293,91.195
4,4.005,91.218,15,3.389,91.229,11,4.402,91.107,4,3.386,91.205,5,2.777,91.221
5,3.168,91.184,14,4.51,91.13,17,3.43,91.204,4,5.486,91.192,4,2.98,91.205
5,2.814,91.224,14,3.214,91.136,17,2.634,91.141,4,2.312,91.1,3,4.496,91.192
3,2.829,91.173,3,3.169,91.164,2,3.944,91.196,4,4.078,91.175,3,5.081,91.148
3,3.41,91.044,3,2.732,91.242,2,3.032,91.243,4,3.741,91.227,4,4.315,91.238
4,4.335,91.201,15,4.266,91.254,11,4.909,91.176,4,2.595,91.202,4,2.588,91.174
2,2.88,91.092,14,3.522,91.111,17,2.738,91.183,4,4.227,91.093,4,2.551,91.153
4,2.53,91.234,15,2.646,91.112,11,3.887,91.209,4,3.955,91.166,4,2.508,91.183
3,2.353,91.145,3,4.043,91.185,2,3.297,91.138,4,2.838,91.225,4,2.798,91.202
5,2.895,91.124,14,4.058,91.188,17,3.827,91.216,4,2.295,91.237,5,2.469,91.238
2,2.54,91.171,15,3.345,91.103,11,2.998,91.183,2,2.571,91.216,4,2.577,91.154
3,2.732,91.214,14,3.827,91.161,17,3.481,91.14,1,4.005,91.157,5,3.087,91.153
5,2.841,91.175,8,2.789,91.218,4,2.573,91.142,4,2.673,91.244,4,2.651,91.137
4,2.546,91.253,8,2.958,91.193,4,2.331,91.225,3,2.666,91.17,4,3.7,91.215
4,2.425,91.14,1,3.079,91.072,1,3.779,91.226,3,4.115,91.237,1,4.127,91.29
5,2.812,91.222,6,2.642,91.229,14,2.265,91.16,1,2.616,91.29,3,2.477,91.157
5,2.331,91.205,15,2.441,91.159,13,4.052,91.099,4,2.286,91.197,5,2.428,91.154
5,2.444,91.217,15,2.399,91.229,9,2.424,91.125,4,2.322,91.181,4,2.484,91.206
2,3.743,91.159,3,3.638,91.279,2,2.655,91.201,1,2.864,91.203,5,2.445,91.193
5,2.261,91.216,1,2.346,91.169,1,2.468,91.095,4,2.537,91.112,4,2.519,91.254
3,2.522,91.144,3,2.29,91.278,2,2.366,91.191,4,2.498,91.163,3,2.771,91.242
2,2.656,91.136,15,2.37,91.162,11,4.061,91.246,2,2.347,91.229,5,2.559,91.254
2,2.373,91.213,3,2.573,91.205,2,4.058,91.184,4,3.763,91.16,4,3.577,91.166
5,2.394,91.172,8,2.336,91.194,4,2.52,91.278,4,2.587,91.244,4,2.937,91.255
5,2.314,91.128,6,2.605,91.154,14,2.334,91.197,1,2.43,91.211,4,2.388,91.211
5,2.453,91.29,8,2.367,91.224,4,2.325,91.049,4,2.272,91.283,3,2.268,91.084
2,2.652,91.176,8,2.663,91.167,4,2.497,91.219,3,2.517,91.194,5,2.295,91.233
4,3.181,91.183,15,2.374,91.192,11,3.827,91.256,4,2.311,91.151,5,2.511,91.202
3,3.091,91.168,6,4.335,91.146,16,2.495,91.129,4,2.519,91.146,4,2.613,91.145
5,4.373,91.194,14,3.036,91.176,17,3.555,91.206,1,2.423,91.109,4,3.238,91.259
5,2.994,91.195,14,2.282,91.145,17,2.439,91.235,4,2.302,91.14,4,2.482,91.185
2,3.83,91.122,8,2.37,91.242,4,2.412,91.194,1,2.381,91.261,4,3.787,91.205
2,3.948,91.145,6,2.652,91.114,14,2.318,91.201,4,2.248,91.151,4,3.06,91.212
5,2.301,91.233,6,2.364,91.191,5,2.413,91.158,4,2.864,91.176,4,2.285,91.219
5,3.815,91.141,14,2.351,91.297,17,2.847,91.118,4,2.915,91.101,4,2.359,91.235
5,2.406,91.195,14,2.584,91.091,17,2.661,91.184,4,2.344,91.222,4,2.63,91.238
4,2.781,91.188,8,2.696,91.141,4,2.349,91.204,1,2.346,91.197,5,2.821,91.203
5,4.036,91.253,14,2.912,91.148,17,2.573,91.176,4,2.213,91.2,4,2.24,91.179
5,2.422,91.136,14,4.09,91.142,17,4.265,91.24,4,3.207,91.219,5,3.062,91.237
4,2.887,91.089,8,2.515,91.11,4,2.415,91.18,4,2.349,91.104,3,2.375,91.271
5,2.562,91.2,14,3.692,91.246,18,2.349,91.171,4,2.381,91.15,4,4.062,91.112
2,2.667,91.268,3,2.595,91.267,2,2.49,91.121,1,2.31,91.146,5,2.742,91.132
5,3.302,91.258,5,3.263,91.229,7,3.542,91.145,4,3.038,91.136,3,3.577,91.183
5,4.271,91.213,14,3.168,91.132,17,3.934,91.108,4,2.997,91.137,4,2.445,91.22
5,3.818,91.14,14,3.925,91.059,17,2.35,91.122,4,2.459,91.174,3,2.353,91.166
